#{"t_start": 1754390739.1912675, "env_id": "None"}
r,l,t
156.084205,7,1.546558
202.45669,7,1.560642
397.23046,7,1.57474
420.471882,7,1.585735
177.565417,7,1.599378
545.619495,7,1.610481
295.428066,7,1.617002
421.044716,7,1.625132
240.45449,7,1.632984
157.76094,7,1.640011
252.907193,7,1.647153
113.89882,7,1.652797
63.409603,7,1.658778
-76.965924,7,1.66476
187.737884,7,1.671055
-71.181962,7,1.678168
153.116297,7,1.685171
7.845685,7,1.693157
432.555608,7,1.699367
197.425476,7,1.706684
28.196645,7,1.725288
391.933893,7,1.733133
347.55482,7,1.740979
-58.379164,7,1.748928
744.659127,7,1.755339
358.450761,7,1.763177
392.287386,7,1.772431
56.612048,7,1.779993
32.039285,7,1.788084
-147.08067,7,1.794273
-51.417232,7,1.802512
1136.95902,7,1.809508
1131.411792,7,1.819134
834.967186,7,1.828397
152.2525,7,1.835601
-150.772604,7,1.844129
503.593529,7,1.852
-166.578175,7,1.859717
331.794378,7,1.868368
465.051115,7,1.875334
161.249949,7,1.88228
30.451332,7,1.889515
-134.755099,7,1.896127
79.98581,7,1.903552
-541.754152,7,1.911892
153.692769,7,1.918663
51.753519,7,1.926468
188.424929,7,1.933869
-382.434719,7,1.943393
742.136852,7,1.953602
501.714722,7,1.962836
196.847134,7,1.970824
522.842041,7,1.980226
18.120036,7,1.990405
764.824412,7,1.9974
-62.350791,7,2.004732
485.164922,7,2.011343
513.104294,7,2.018037
207.88042,7,2.024738
-183.100026,7,2.032868
323.50732,7,2.040098
308.788371,7,2.048514
599.39505,7,2.054405
515.095834,7,2.06206
-124.541459,7,2.070383
-69.257422,7,2.077473
-41.380259,7,2.083083
127.145944,7,2.089544
576.269003,7,2.09503
861.567114,7,2.101067
-371.730142,7,2.106583
-36.444476,7,2.111809
286.765942,7,2.117301
934.82715,7,2.122484
-12.046097,7,2.127634
330.207742,7,2.134677
447.714535,7,2.140016
-142.859577,7,2.14532
109.522364,7,2.150921
364.49857,7,2.1581
414.099324,7,2.163566
10.66264,7,2.16883
-11.673485,7,2.175361
-85.307941,7,2.182817
-5.18781,7,2.189558
-249.123682,7,2.196684
294.759289,7,2.202059
192.099533,7,2.207916
-36.061788,7,2.213952
-174.546373,7,2.22262
158.513894,7,2.228081
327.434453,7,2.233819
-163.14722,7,2.239253
63.460797,7,2.245948
96.090195,7,2.251344
235.649947,7,2.257201
693.250536,7,2.265152
93.544665,7,2.270947
624.82745,7,2.276624
739.026085,7,2.283741
467.153991,7,2.295264
-153.755085,7,2.303245
238.709635,7,2.311646
-148.191656,7,2.318918
-22.468282,7,2.325835
546.767187,7,2.333022
654.910828,7,2.339745
844.827812,7,2.346282
189.691645,7,2.353147
140.540434,7,2.360051
278.869653,7,2.366555
177.800039,7,2.373374
222.378444,7,2.383208
60.827679,7,2.390578
9.159233,7,2.399954
-69.341747,7,2.407495
259.652863,7,2.41667
586.209308,7,2.423134
213.512405,7,2.429213
32.643596,7,2.435144
172.631491,7,2.442044
518.932342,7,2.448564
-20.078711,7,2.456569
-30.62308,7,2.463424
268.805303,7,2.472807
470.202326,7,2.483716
35.776279,7,2.490149
-65.649886,7,2.498809
-6.961864,7,2.508017
818.114973,7,2.515145
278.969059,7,2.522455
637.590484,7,2.529891
-139.526619,7,2.536619
308.287864,7,2.544639
751.265816,7,2.553732
116.907949,7,2.561284
356.243849,7,2.569251
66.350917,7,2.576287
288.257124,7,2.585063
317.764924,7,2.594182
-47.241882,7,2.604559
467.045154,7,2.612955
239.661292,7,2.619907
-248.55194,7,2.627857
146.612712,7,2.636086
216.182092,7,2.643106
32.12942,7,2.650213
-157.838251,7,2.65682
-208.535629,7,2.663265
115.536402,7,2.670421
-520.715095,7,2.677114
443.964957,7,2.683741
651.357218,7,2.693557
276.002542,7,2.700329
-22.878414,7,2.711273
34.924361,7,2.719672
274.884405,7,2.728503
679.006052,7,2.735464
154.247714,7,2.742887
19.473503,7,2.749439
304.21232,7,2.758226
-11.036566,7,2.765175
958.83088,7,2.77217
159.078004,7,2.778704
